filename,clip_id,source,moving_ratio,longest_static_sec,longest_static_start_sec,longest_static_end_sec,longest_moving_sec,n_moving_bouts,disp_mean,disp_max,aspect_osc,global_change_frames,first_global_change_sec,unknown_ratio,not_visible_ratio,max_geckos,bbox_area_jump,head_micro
drinking__drinking__036a650d.mov,036a650d-1b86-435c-bb53-50829430aac6,eval-0608,0.20714285714285696,4.101752136752137,0.2000854700854701,4.301837606837607,1.3005555555555546,11,0.03775691286430258,0.2004477438253672,0.25604483354561025,0,,0.10256410256410281,0.0,1,1.5715259392751353,-0.028550059362289083
drinking__drinking__2c1be3dd.mov,2c1be3dd-96c7-46e8-a50b-014c2e4915bf,eval-0608,0.10609756097560985,4.4009496347558645,16.62269511726259,21.023644752018456,0.3924413687043442,12,0.023056126529531606,0.1806944479489579,0.37271477445634965,0,,0.05420991926182248,0.0,2,2.8180699885161253,0.09112909328127905
drinking__drinking__3d46364a.mov,3d46364a-9473-4413-b9d7-65463fb1c13f,eval-0608,0.36821705426356577,1.3058346055979655,10.50224427480916,11.808078880407125,2.611669211195929,9,0.02047086831521435,0.29915744294656466,0.18070133473359087,29,2.0004274809160307,0.05496183206106873,0.0,2,2.2217720673655617,
drinking__drinking__685911a0.mov,685911a0-8b68-4d9e-a55b-b4db5ff27647,eval-0608,,0.0,,,0.0,0,,,,0,,1.0,0.0,0,1.0,
drinking__drinking__6d9d504f.mov,6d9d504f-13ec-47eb-aafd-1b8cbeec18ce,eval-0608,0.22853185595567888,2.4922677234698374,0.3137120211360634,2.8059797446059007,0.9062791721708496,13,0.03570817953938223,0.27221715875088043,0.5864390820745337,0,,0.04623513870541614,0.0,2,2.157664653510793,
drinking__drinking__9e9f164b.mp4,9e9f164b-3ee4-46c1-994e-cae0555fa0bf,eval-0615,0.00627943485086347,12.81053744493392,0.21139500734214392,13.021932452276065,0.16911600587371645,1,0.004808102692000043,0.06654847702585721,0.06796919009480079,0,,0.03191489361702121,0.0,1,1.1502412667093864,0.37551880234502427
drinking__drinking__b5637a1a.mov,b5637a1a-1b3a-403e-8b8b-d11d54abe768,eval-0608,0.006097560975609744,9.403877887788777,10.804455445544555,20.208333333333332,0.10004125412541232,1,0.010476779798740487,0.09328617966612862,0.5276154306740819,0,,0.18811881188118829,0.0,2,1.1720686639036455,0.018962018811502068
drinking__drinking__c9bc5878.mov,c9bc5878-abb8-43dc-9822-4bce0dafa717,eval-0608,0.0,0.09745614035087691,6.204707602339181,6.302163742690058,0.0,0,,,,0,,0.9894366197183099,0.0,1,1.0,
drinking__drinking__d6c57474.mp4,d6c57474-223f-48b9-9c49-3aa9fe1cc765,eval-0615,0.07019328585961358,11.900543875685559,10.200466179159049,22.101010054844608,1.3000594149908586,6,0.01059950979127301,0.10130179019866868,0.27474555171023723,0,,0.10146252285191948,0.0,1,1.3233991897257578,-0.742734511753022
drinking__eating_paste__71889c3c.mp4,71889c3c-8e31-4c6b-ad7d-f7e046cff5dc,uploaded,0.0,1.3920518207282913,1.9119747899159665,3.3040266106442577,0.0,0,0.012119649568816289,0.029199356278355112,0.04816986218135017,1,1.7107142857142856,0.350840336134454,0.0,1,1.1505098154953601,
drinking__moving__00c089c8.mov,00c089c8-1972-48ad-a61f-8a56f161a721,eval-0608,0.2932862190812721,4.421005747126436,3.0011206896551723,7.422126436781609,1.5812356321839078,3,0.007253478645664021,0.020182246389800765,0.19720805820284254,0,,0.02413793103448276,0.0,1,1.0720456130176326,0.09932154464317952
drinking__moving__3369d723.mp4,3369d723-5f68-4f69-a1f4-f9b63c53ec4f,uploaded,0.0,6.090551181102362,3.7145669291338583,9.80511811023622,0.0,0,0.013851911708529131,0.05021559829414303,0.1854384105026905,0,,0.20472440944881903,0.0,1,1.1467123524936802,-0.0017090972582229132
drinking__moving__6a24c2e6.mp4,6a24c2e6-a4fb-40b8-8416-4e3044c732be,uploaded,0.0,1.3892703862660944,3.8163090128755366,5.205579399141631,0.0,0,0.016683639826760587,0.04392684737691436,0.17875171842705964,3,0.30128755364806864,0.7446351931330474,0.0,1,1.1316742467468452,
drinking__moving__7124cebe.mp4,7124cebe-f0fd-48ae-86b1-12bfd3ed2813,uploaded,0.0,0.3008086253369271,9.408625336927225,9.709433962264152,0.0,0,0.016868130906875615,0.037015670311683437,0.04052077044570914,7,5.615094339622642,0.8948787061994611,0.0,1,1.105742064925552,
drinking__moving__bf83c4cf.mp4,bf83c4cf-e675-48ac-8765-bcc528106496,uploaded,0.3454545454545457,1.0056497175141244,0.20112994350282487,1.2067796610169492,0.905084745762712,6,0.03128817549030949,0.10465678268485325,0.20559810038775933,0,,0.06779661016949141,0.0,3,1.547862484749316,
drinking__moving__d95e9eaa.mp4,d95e9eaa-3203-478b-9d0b-cfc05b7b9f2f,uploaded,0.041095890410958645,1.0010000000000003,5.7057,6.7067000000000005,0.10009999999999941,1,0.034469961716564246,0.09207325307489123,0.08108916914025423,0,,0.718146718146718,0.0,1,1.353943709680239,
drinking__moving__f4b33f32.mov,f4b33f32-8db5-46d7-a124-66a8d5287318,eval-0608,0.0,5.202203389830508,6.702838983050848,11.905042372881356,0.0,0,0.0038085754539192887,0.02394446236756742,0.07412074686155773,0,,0.12711864406779663,0.0,1,1.0967829332424066,-0.24045773282070226
drinking__na__1de074fa.mp4,1de074fa-de27-4d33-9615-46f27bb14aea,eval-0617,0.28124999999999994,1.7912004662004657,5.510073815073815,7.301274281274281,0.6994211344211347,7,0.041922097594570905,0.32740446800233525,0.5596536912407459,0,,0.028037383177570093,0.0,2,2.3999685533920467,
drinking__na__2570bc92.mp4,2570bc92-ba86-411d-bfe3-f814b8246d6d,eval-0617,0.0,1.7018155722999646,5.307642626480086,7.009458198780051,0.0,0,0.017001087149011804,0.05242024628233541,0.6036068210955113,0,,0.529094827586207,0.0,1,1.4336692386189662,
drinking__na__5eab1426.mp4,5eab1426-8dc4-4377-92b1-7f5a94c48fab,eval-0617,0.0323741007194245,2.6046732026143795,2.805032679738562,5.409705882352942,0.10017973856209217,3,0.017605264867371653,0.09141073188608861,0.09980578020922727,0,,0.08852459016393438,0.0,1,1.142979920762502,
drinking__na__92c583fa.mp4,92c583fa-7a9f-4375-a45e-1ce01e858c8e,eval-0617,0.0,5.416531249999999,0.20210937499999998,5.618640624999999,0.0,0,0.008452713437829695,0.03847083520541051,0.1725406221452335,2,5.618640624999999,0.01567398119122257,0.0,1,1.2148507134016524,1.9301207276164507
drinking__na__a336fa20.mp4,a336fa20-e9fd-493d-b19d-639f525442ac,eval-0617,0.0,6.00188630490956,9.412428940568477,15.414315245478036,0.0,0,0.010112101060334487,0.05460416757542482,0.20182445833598797,2,7.205607235142119,0.052376333656644083,0.0,1,1.272456903366882,0.22329050040179343
drinking__na__af6fc476.mp4,af6fc476-e530-4791-878c-aba6219a1284,eval-0617,0.2908163265306124,1.9963902439024392,0.21014634146341465,2.206536585365854,0.8931219512195123,5,0.020939025317708745,0.17971077151162576,0.049351399248188786,0,,0.03921568627450981,0.0,3,1.9094598243982257,
drinking__na__c30671fb.mp4,c30671fb-cdec-4558-ab7f-761ddfb69dbc,eval-0617,0.0,7.70896680691912,6.909366526414212,14.618333333333332,0.0,0,0.003982790861245583,0.030880933129266253,0.6562546263826182,0,,0.02103786816269287,0.0,2,1.180795947320217,0.5942321953797636
eating_paste__eating_paste__2c5c4fc6.mov,2c5c4fc6-afa7-44d8-8a75-66cf3d9184a4,eval-0608,0.1255060728744939,1.600603773584906,5.201962264150944,6.80256603773585,0.20007547169811257,10,0.04180018202132047,0.2645623214280841,0.42165775972641767,2,3.501320754716981,0.045283018867924456,0.0,2,5.56250895294478,
eating_paste__eating_paste__5a907d7b.mp4,5a907d7b-9a9e-4f20-a3a4-5b808741188b,uploaded,0.09722222222222213,1.0999999999999996,4.4,5.5,0.20000000000000018,5,0.029165446655994597,0.180446883147999,0.13911668773581756,0,,0.3846153846153846,0.0,1,1.9028796590019763,
eating_paste__eating_paste__5e46192e.mov,5e46192e-d0b9-499d-849e-d026cfd0cab1,eval-0608,0.013289036544850493,3.9107212475633535,3.7151851851851854,7.625906432748539,0.11173489278752435,1,0.01692900418057755,0.12849882769253132,0.06185162781193386,3,0.7262768031189084,0.07669616519174038,0.0,1,1.4516505793873784,-0.04136080136416687
eating_paste__eating_paste__6ecd693c.mp4,6ecd693c-9534-4c57-ab62-6dbd7104490e,uploaded,0.05955334987593052,3.5,2.0,5.5,0.20000000000000107,6,0.017673015690236035,0.10980035815141774,0.21812978299812788,0,,0.10643015521064318,0.0,1,1.3147668294830974,0.5226906538009644
eating_paste__eating_paste__7f4dbdcc.mp4,7f4dbdcc-7b05-42d3-a4a7-4923f2f4de57,uploaded,0.029850746268656695,2.0999999999999996,9.0,11.1,0.09999999999999998,2,0.019080017772713558,0.13452052625063737,0.04160768636030503,0,,0.3982035928143713,0.0,1,1.1145831139635343,
eating_paste__eating_paste__8329c627.mov,8329c627-d894-49fd-97cc-d6ed9cdc4dd6,eval-0608,0.0,0.3832188295165393,2.122442748091603,2.505661577608142,0.0,0,0.01163174759838606,0.022744013768089204,0.025599888838115672,0,,0.8854961832061069,0.0,1,1.0840151033417635,
eating_paste__eating_paste__bae3a9e3.mov,bae3a9e3-d3b5-4edd-8f24-28921e5ed975,eval-0608,0.38735177865612636,2.5,0.2,2.7,2.6999999999999993,25,0.031173570327640288,0.2767296107048058,0.18079298058390716,2,9.8,0.019230769230769256,0.0,2,5.044124224143394,
eating_paste__eating_paste__c33da2d9.mov,c33da2d9-5348-4b8e-b625-737ce9a2c44b,eval-0608,0.1657458563535913,1.6071111111111116,2.8124444444444445,4.419555555555556,0.20088888888888912,7,0.04271079033884179,0.19109173540375515,0.5024507022286734,14,0.10044444444444445,0.17777777777777767,0.0,2,2.080616210034396,
