run_short,camera_short,selector_version,selector_kind,created_at_kst,window_start_kst,window_end_kst,selected_jobs,selected_with_prelabel,selected_linkage_kind,window_clips,window_clips_with_prelabel_at_run,window_time_kind,eligible_pool_kind
907a1c7e,5b3ea7aa,budget-router-v1,regular,2026-07-15T02:27:37.210171+09:00,2026-07-15T00:00:00+09:00,2026-07-15T02:00:00+09:00,4,3,exact,44,40,estimate,not_reconstructable
0d65f89e,5b3ea7aa,budget-router-v1,regular,2026-07-15T04:00:07.387242+09:00,2026-07-15T02:00:00+09:00,2026-07-15T04:00:00+09:00,4,4,exact,50,46,estimate,not_reconstructable
13df9143,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.095124+09:00,2026-07-07T20:00:00+09:00,2026-07-07T21:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
fe8e6a66,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.189077+09:00,2026-07-07T21:00:00+09:00,2026-07-07T22:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
f899f792,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.266551+09:00,2026-07-07T22:00:00+09:00,2026-07-07T23:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
bd9271e6,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.355943+09:00,2026-07-07T23:00:00+09:00,2026-07-08T00:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
9c2eeac8,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.601245+09:00,2026-07-08T00:00:00+09:00,2026-07-08T01:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
97c1ef40,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.663562+09:00,2026-07-08T01:00:00+09:00,2026-07-08T02:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
cc27cce0,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.731922+09:00,2026-07-08T02:00:00+09:00,2026-07-08T03:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
1896b642,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T12:25:21.792817+09:00,2026-07-08T03:00:00+09:00,2026-07-08T04:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
a0cd387c,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.007300+09:00,2026-07-08T20:00:00+09:00,2026-07-08T21:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
563df3f2,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.141666+09:00,2026-07-08T21:00:00+09:00,2026-07-08T22:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
47c94f52,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.222851+09:00,2026-07-08T22:00:00+09:00,2026-07-08T23:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
683eba19,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.356522+09:00,2026-07-08T23:00:00+09:00,2026-07-09T00:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
4d5897c5,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.454330+09:00,2026-07-09T00:00:00+09:00,2026-07-09T01:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
5fb56abe,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-15T14:01:15.543201+09:00,2026-07-09T01:00:00+09:00,2026-07-09T02:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
